,SchoolCode,Expenditure
581,2640,7808574
582,2641,6756814
583,2642,6163194
584,2643,8850467
585,2644,7629203
586,2645,8984977
587,2650,9793872
588,2651,5531959
589,2652,10465110
590,2653,6942028
591,2656,7436242
592,2657,7272908
593,2659,7456388
594,2662,7504802
595,2664,4739111
596,2665,2163703
597,2666,3562686
598,2667,8509535
599,2668,3481132
600,2669,8129215
601,2671,7785988
602,2673,11014019
603,2676,2393726
604,2677,4667657
605,2678,2452232
606,2679,5077210
607,2681,19330710
608,2682,3073037
609,2687,4768756
610,2688,2456820
611,2689,6827493
612,2690,6033815
613,2691,5044154
614,2693,1595028
615,2694,3303510
616,2695,4715035
617,2696,6341591
618,2697,3947460
619,2699,10612112
620,2701,22307107
621,2702,4580593
622,2703,7818227
623,2704,5985906
624,2706,4236891
625,2707,8620590
626,2708,6457855
627,2711,3239117
628,2712,1647401
629,2713,6867665
630,2714,8406993
631,2715,9386133
632,2717,10123307
633,2718,3390468
634,2719,2736191
635,2721,11087989
636,2722,9049412
637,2723,7299472
638,2724,21960200
639,2725,8012065
640,2726,5518440
641,2727,18380167
642,2728,3224893
643,2729,15840310
644,2730,9933246
645,2733,6901621
646,2734,8930634
647,2738,10676896
648,2739,22172239
649,2741,6400408
650,2743,1686260
651,2744,2913300
652,2745,7926723
653,2746,7559632
654,2747,4918705
655,2748,5715037
656,2749,3510754
657,2750,2436017
658,2751,7235706
659,2752,7898360
660,2754,9248410
661,2756,8199261
662,2757,5881306
663,2758,3395216
664,2759,5511278
665,2760,3368840
666,2762,8672518
667,2763,5255443
668,2765,7550969
669,2766,5252637
670,2768,5652279
671,2769,2144415
672,2770,1971463
673,2771,6574367
674,2772,6746632
675,2773,11608829
676,2774,6924397
677,2776,7177016
678,2778,5620072
679,2780,8238988
680,2783,4486290
681,2785,10019732
682,2786,7274565
683,2787,7404953
684,2788,3995276
685,2789,2676147
686,2790,6657993
687,2792,5426720
688,2793,5576319
689,2795,25132901
690,2796,5359237
691,2797,25447575
692,2798,7036893
693,2799,12500014
694,2800,4169513
695,2801,5371679
696,2802,5764720
697,2803,4358008
698,2804,5028308
699,2805,6262855
700,2806,7453503
